ssi_id,counterparty_id,market,currency,account_no,bic,custodian,effective_from,effective_to,active_flag
SSI_6f4330ad2f,CP004,US,JPY,ACCT857168,BIC00000004,JPM Custody,2026-01-01,2027-12-31,True
SSI_356f4820ff,CP004,US,USD,ACCT624902,BIC00000004,BNY Mellon,2026-01-01,2027-12-31,True
SSI_b48e5f882e,CP004,EU,INR,ACCT755674,BIC00000004,JPM Custody,2026-01-01,2027-12-31,True
SSI_914218c77b,CP004,EU,USD,ACCT982554,BIC00000004,HSBC Custody,2026-01-01,2027-12-31,True
SSI_006bde7333,CP005,IN,GBP,ACCT665579,BIC00000005,HSBC Custody,2026-01-01,2027-12-31,True
SSI_dabcc15da9,CP005,IN,EUR,ACCT100599,BIC00000005,HSBC Custody,2026-01-01,2027-12-31,True
SSI_e61ef32f02,CP005,GB,GBP,ACCT120422,BIC00000005,State Street,2026-01-01,2027-12-31,True
SSI_1738a4a7ae,CP005,GB,JPY,ACCT480612,BIC00000005,JPM Custody,2026-01-01,2027-12-31,True
SSI_a650065d2d,CP005,SG,EUR,ACCT352572,BIC00000005,HSBC Custody,2026-01-01,2027-12-31,True
SSI_95c04057f1,CP005,SG,USD,ACCT182582,BIC00000005,State Street,2026-01-01,2027-12-31,True
SSI_c26756197a,CP006,SG,INR,ACCT234628,BIC00000006,Citi Custody,2026-01-01,2027-12-31,True
SSI_7989766e0b,CP006,SG,EUR,ACCT676510,BIC00000006,BNY Mellon,2026-01-01,2027-12-31,True
SSI_17367eb350,CP006,JP,GBP,ACCT736059,BIC00000006,Citi Custody,2026-01-01,2027-12-31,True
SSI_f7ea7a0d9b,CP006,JP,INR,ACCT322086,BIC00000006,HSBC Custody,2026-01-01,2027-12-31,True
SSI_ddfd066b55,CP006,US,SGD,ACCT847581,BIC00000006,JPM Custody,2026-01-01,2027-12-31,True
SSI_076fcb3496,CP006,US,EUR,ACCT518373,BIC00000006,JPM Custody,2026-01-01,2027-12-31,True
SSI_c5bfa39c1e,CP007,JP,USD,ACCT335612,BIC00000007,State Street,2026-01-01,2027-12-31,True
SSI_c19c098a32,CP007,JP,EUR,ACCT454508,BIC00000007,State Street,2026-01-01,2027-12-31,True
SSI_7f7e23ed42,CP007,IN,INR,ACCT341292,BIC00000007,HSBC Custody,2026-01-01,2027-12-31,True
SSI_fc51066f85,CP007,IN,SGD,ACCT330914,BIC00000007,State Street,2026-01-01,2027-12-31,True
SSI_58a0df7dfb,CP007,SG,USD,ACCT340062,BIC00000007,State Street,2026-01-01,2027-12-31,True
SSI_3666b0ae46,CP007,SG,SGD,ACCT132938,BIC00000007,JPM Custody,2026-01-01,2027-12-31,True
SSI_27401d46ca,CP008,US,GBP,ACCT324643,BIC00000008,HSBC Custody,2026-01-01,2027-12-31,True
SSI_fbc38c5ee8,CP008,US,JPY,ACCT238739,BIC00000008,HSBC Custody,2026-01-01,2027-12-31,True
SSI_ef5ac4da3c,CP008,IN,INR,ACCT354801,BIC00000008,Citi Custody,2026-01-01,2027-12-31,True
SSI_1a23e35ca8,CP008,IN,JPY,ACCT946721,BIC00000008,Citi Custody,2026-01-01,2027-12-31,True
SSI_abbf5ada12,CP008,GB,EUR,ACCT201639,BIC00000008,Citi Custody,2026-01-01,2027-12-31,True
SSI_7db4efe7b6,CP008,GB,USD,ACCT471507,BIC00000008,Citi Custody,2026-01-01,2027-12-31,True
SSI_0a70139b03,CP009,JP,SGD,ACCT163556,BIC00000009,Citi Custody,2026-01-01,2027-12-31,True
SSI_cdd620dca4,CP009,JP,USD,ACCT863587,BIC00000009,JPM Custody,2026-01-01,2027-12-31,True
SSI_b1972a2c8e,CP009,SG,USD,ACCT300896,BIC00000009,BNY Mellon,2026-01-01,2027-12-31,True
SSI_4061108bdd,CP009,SG,EUR,ACCT662336,BIC00000009,Citi Custody,2026-01-01,2027-12-31,True
SSI_f131317780,CP009,US,EUR,ACCT292401,BIC00000009,JPM Custody,2026-01-01,2027-12-31,True
SSI_2ae90aa3af,CP009,US,JPY,ACCT585100,BIC00000009,BNY Mellon,2026-01-01,2027-12-31,True
SSI_328c8ffd32,CP010,US,USD,ACCT976638,BIC00000010,State Street,2026-01-01,2027-12-31,True
SSI_47d6a5b62f,CP010,US,INR,ACCT197793,BIC00000010,BNY Mellon,2026-01-01,2027-12-31,True
SSI_8c92ad2ccb,CP010,JP,EUR,ACCT609231,BIC00000010,Citi Custody,2026-01-01,2027-12-31,True
SSI_7c7c826b7a,CP010,JP,JPY,ACCT324130,BIC00000010,Citi Custody,2026-01-01,2027-12-31,True
SSI_65fa1a2974,CP010,SG,USD,ACCT497382,BIC00000010,State Street,2026-01-01,2027-12-31,True
SSI_e5b22bfb95,CP010,SG,EUR,ACCT509386,BIC00000010,JPM Custody,2026-01-01,2027-12-31,True
SSI_f341cb59e9,CP011,JP,SGD,ACCT794022,BIC00000011,Citi Custody,2026-01-01,2027-12-31,True
SSI_4f7a059e2c,CP011,JP,INR,ACCT262316,BIC00000011,BNY Mellon,2026-01-01,2027-12-31,True
SSI_f7a3de8222,CP011,EU,GBP,ACCT161324,BIC00000011,HSBC Custody,2026-01-01,2027-12-31,True
SSI_b1ba8fdab3,CP011,EU,EUR,ACCT871476,BIC00000011,HSBC Custody,2026-01-01,2027-12-31,True
SSI_50d5fabde9,CP011,SG,USD,ACCT159942,BIC00000011,State Street,2026-01-01,2027-12-31,True
SSI_c46332400d,CP011,SG,GBP,ACCT712554,BIC00000011,Citi Custody,2026-01-01,2027-12-31,True
SSI_a7d6216a53,CP012,IN,USD,ACCT184002,BIC00000012,BNY Mellon,2026-01-01,2027-12-31,True
SSI_33fc0774d2,CP012,IN,INR,ACCT171849,BIC00000012,HSBC Custody,2026-01-01,2027-12-31,True
SSI_96bcb3b526,CP012,SG,USD,ACCT523389,BIC00000012,State Street,2026-01-01,2027-12-31,True
SSI_a0e633d13f,CP012,SG,EUR,ACCT697347,BIC00000012,BNY Mellon,2026-01-01,2027-12-31,True
SSI_a4796b2e19,CP012,GB,INR,ACCT141672,BIC00000012,HSBC Custody,2026-01-01,2027-12-31,True
SSI_641989a61f,CP012,GB,SGD,ACCT185965,BIC00000012,Citi Custody,2026-01-01,2027-12-31,True
SSI_821678982b,CP013,SG,GBP,ACCT802258,BIC00000013,JPM Custody,2026-01-01,2027-12-31,True
SSI_21c1cb6342,CP013,SG,EUR,ACCT350280,BIC00000013,JPM Custody,2026-01-01,2027-12-31,True
SSI_9962654323,CP013,IN,JPY,ACCT804318,BIC00000013,JPM Custody,2026-01-01,2027-12-31,True
SSI_ca83292546,CP013,IN,EUR,ACCT579434,BIC00000013,JPM Custody,2026-01-01,2027-12-31,True
SSI_7e4f2eb8d9,CP013,EU,USD,ACCT580547,BIC00000013,HSBC Custody,2026-01-01,2027-12-31,True
SSI_80684dcb4d,CP013,EU,SGD,ACCT690341,BIC00000013,State Street,2026-01-01,2027-12-31,True
SSI_02c419043f,CP014,US,INR,ACCT238890,BIC00000014,JPM Custody,2026-01-01,2027-12-31,True
SSI_63742fe036,CP014,US,GBP,ACCT172132,BIC00000014,BNY Mellon,2026-01-01,2027-12-31,True
SSI_779164d4c2,CP014,IN,GBP,ACCT265409,BIC00000014,Citi Custody,2026-01-01,2027-12-31,True
SSI_6189a77de1,CP014,IN,SGD,ACCT974244,BIC00000014,HSBC Custody,2026-01-01,2027-12-31,True
SSI_db192ace4c,CP014,GB,SGD,ACCT741390,BIC00000014,HSBC Custody,2026-01-01,2027-12-31,True
SSI_d5f48e36ea,CP014,GB,GBP,ACCT108203,BIC00000014,HSBC Custody,2026-01-01,2027-12-31,True
SSI_d225116e0c,CP015,EU,GBP,ACCT212235,BIC00000015,HSBC Custody,2026-01-01,2027-12-31,True
SSI_f5faa72d3e,CP015,EU,USD,ACCT262998,BIC00000015,JPM Custody,2026-01-01,2027-12-31,True
SSI_d2d6a09d55,CP015,US,GBP,ACCT320861,BIC00000015,JPM Custody,2026-01-01,2027-12-31,True
SSI_abe7e87d73,CP015,US,INR,ACCT313487,BIC00000015,JPM Custody,2026-01-01,2027-12-31,True
SSI_fa4aa7e453,CP015,GB,INR,ACCT363319,BIC00000015,State Street,2026-01-01,2027-12-31,True
SSI_a752b4c807,CP015,GB,JPY,ACCT196781,BIC00000015,Citi Custody,2026-01-01,2027-12-31,True
SSI_30526632f7,CP016,EU,GBP,ACCT768061,BIC00000016,JPM Custody,2026-01-01,2027-12-31,True
SSI_322649aeba,CP016,EU,EUR,ACCT269430,BIC00000016,Citi Custody,2026-01-01,2027-12-31,True
SSI_99f2623b64,CP016,US,INR,ACCT688153,BIC00000016,State Street,2026-01-01,2027-12-31,True
SSI_3342891491,CP016,US,JPY,ACCT217308,BIC00000016,State Street,2026-01-01,2027-12-31,True
SSI_34ead4ad7d,CP016,IN,SGD,ACCT672092,BIC00000016,State Street,2026-01-01,2027-12-31,True
SSI_817438b031,CP016,IN,EUR,ACCT975136,BIC00000016,JPM Custody,2026-01-01,2027-12-31,True
SSI_3fef7c7c37,CP017,IN,JPY,ACCT143860,BIC00000017,JPM Custody,2026-01-01,2027-12-31,True
SSI_22181f9c24,CP017,IN,EUR,ACCT482364,BIC00000017,State Street,2026-01-01,2027-12-31,True
SSI_ace3440a8b,CP017,SG,GBP,ACCT815198,BIC00000017,BNY Mellon,2026-01-01,2027-12-31,True
SSI_0e7ffe2dce,CP017,SG,EUR,ACCT799330,BIC00000017,State Street,2026-01-01,2027-12-31,True
SSI_e5135dddc4,CP017,GB,GBP,ACCT526117,BIC00000017,HSBC Custody,2026-01-01,2027-12-31,True
SSI_4b5e2849fa,CP017,GB,INR,ACCT885884,BIC00000017,BNY Mellon,2026-01-01,2027-12-31,True
SSI_233969770c,CP018,GB,JPY,ACCT288073,BIC00000018,JPM Custody,2026-01-01,2027-12-31,True
SSI_b9e9d7db02,CP018,GB,USD,ACCT920391,BIC00000018,Citi Custody,2026-01-01,2027-12-31,True
SSI_4a96adaf05,CP018,SG,SGD,ACCT379766,BIC00000018,BNY Mellon,2026-01-01,2027-12-31,True
SSI_dceac39ef2,CP018,SG,EUR,ACCT925622,BIC00000018,State Street,2026-01-01,2027-12-31,True
SSI_2c9f07ce66,CP018,IN,JPY,ACCT593554,BIC00000018,BNY Mellon,2026-01-01,2027-12-31,True
SSI_eb38a630fd,CP018,IN,USD,ACCT309267,BIC00000018,Citi Custody,2026-01-01,2027-12-31,True
SSI_4cbcf85284,CP019,EU,EUR,ACCT792094,BIC00000019,BNY Mellon,2026-01-01,2027-12-31,True
SSI_3784309370,CP019,EU,USD,ACCT517821,BIC00000019,JPM Custody,2026-01-01,2027-12-31,True
SSI_09b6135869,CP019,SG,GBP,ACCT910891,BIC00000019,JPM Custody,2026-01-01,2027-12-31,True
SSI_228c2deea2,CP019,SG,USD,ACCT468203,BIC00000019,HSBC Custody,2026-01-01,2027-12-31,True
SSI_14674e5b3a,CP019,GB,JPY,ACCT447235,BIC00000019,State Street,2026-01-01,2027-12-31,True
SSI_e3c9fb51b1,CP019,GB,INR,ACCT220944,BIC00000019,JPM Custody,2026-01-01,2027-12-31,True
SSI_1adcaad70b,CP020,GB,USD,ACCT725550,BIC00000020,Citi Custody,2026-01-01,2027-12-31,True
SSI_7a4ffe59ec,CP020,GB,SGD,ACCT462479,BIC00000020,JPM Custody,2026-01-01,2027-12-31,True
SSI_ecf7579618,CP020,IN,JPY,ACCT636265,BIC00000020,State Street,2026-01-01,2027-12-31,True
SSI_f02bf13058,CP020,IN,INR,ACCT503906,BIC00000020,HSBC Custody,2026-01-01,2027-12-31,True
SSI_61bd29516b,CP020,EU,EUR,ACCT146542,BIC00000020,Citi Custody,2026-01-01,2027-12-31,True
SSI_73008e139b,CP020,EU,GBP,ACCT101773,BIC00000020,HSBC Custody,2026-01-01,2027-12-31,True
SSI_5fbd27ba43,CP021,IN,JPY,ACCT796503,BIC00000021,JPM Custody,2026-01-01,2027-12-31,True
SSI_f078c9673e,CP021,IN,USD,ACCT753425,BIC00000021,JPM Custody,2026-01-01,2027-12-31,True
SSI_ebbaa7d311,CP021,GB,SGD,ACCT854717,BIC00000021,JPM Custody,2026-01-01,2027-12-31,True
SSI_9c1d9e8a99,CP021,GB,USD,ACCT631756,BIC00000021,JPM Custody,2026-01-01,2027-12-31,True
SSI_8288190ce9,CP021,EU,SGD,ACCT442027,BIC00000021,Citi Custody,2026-01-01,2027-12-31,True
SSI_ad51d9adfd,CP021,EU,JPY,ACCT831076,BIC00000021,JPM Custody,2026-01-01,2027-12-31,True
SSI_cd628013d9,CP022,IN,JPY,ACCT810219,BIC00000022,BNY Mellon,2026-01-01,2027-12-31,True
SSI_624f09deb8,CP022,IN,SGD,ACCT745414,BIC00000022,HSBC Custody,2026-01-01,2027-12-31,True
SSI_82d0213aaa,CP022,GB,GBP,ACCT674553,BIC00000022,State Street,2026-01-01,2027-12-31,True
SSI_78a68c6a00,CP022,GB,JPY,ACCT418635,BIC00000022,JPM Custody,2026-01-01,2027-12-31,True
SSI_9118ed9426,CP022,SG,EUR,ACCT923927,BIC00000022,HSBC Custody,2026-01-01,2027-12-31,True
SSI_070250c5b4,CP022,SG,JPY,ACCT736130,BIC00000022,JPM Custody,2026-01-01,2027-12-31,True
SSI_9060d22b9e,CP023,JP,SGD,ACCT636004,BIC00000023,Citi Custody,2026-01-01,2027-12-31,True
SSI_35f8dace66,CP023,JP,EUR,ACCT932291,BIC00000023,BNY Mellon,2026-01-01,2027-12-31,True
SSI_3fbeca4059,CP023,SG,SGD,ACCT397571,BIC00000023,HSBC Custody,2026-01-01,2027-12-31,True
SSI_c5ac52ea5c,CP023,SG,USD,ACCT796101,BIC00000023,HSBC Custody,2026-01-01,2027-12-31,True
SSI_170e43eaf9,CP023,IN,GBP,ACCT958179,BIC00000023,BNY Mellon,2026-01-01,2027-12-31,True
SSI_f8e8e17a27,CP023,IN,USD,ACCT805477,BIC00000023,JPM Custody,2026-01-01,2027-12-31,True
SSI_44a412e054,CP024,GB,USD,ACCT356736,BIC00000024,Citi Custody,2026-01-01,2027-12-31,True
SSI_2b94e83378,CP024,GB,SGD,ACCT740967,BIC00000024,State Street,2026-01-01,2027-12-31,True
SSI_348cdba9b5,CP024,SG,JPY,ACCT760356,BIC00000024,HSBC Custody,2026-01-01,2027-12-31,True
SSI_5ca92f2c62,CP024,SG,SGD,ACCT303880,BIC00000024,Citi Custody,2026-01-01,2027-12-31,True
SSI_b24daf9a2c,CP024,IN,JPY,ACCT355836,BIC00000024,BNY Mellon,2026-01-01,2027-12-31,True
SSI_d3f80f740e,CP024,IN,SGD,ACCT787926,BIC00000024,State Street,2026-01-01,2027-12-31,True
SSI_f6b7bfc7c3,CP025,US,EUR,ACCT587115,BIC00000025,State Street,2026-01-01,2027-12-31,True
SSI_a275817878,CP025,US,INR,ACCT684482,BIC00000025,BNY Mellon,2026-01-01,2027-12-31,True
SSI_b050096a11,CP025,JP,USD,ACCT239816,BIC00000025,Citi Custody,2026-01-01,2027-12-31,True
SSI_fdaae93cfd,CP025,JP,JPY,ACCT800005,BIC00000025,HSBC Custody,2026-01-01,2027-12-31,True
SSI_6d0156b6d4,CP025,GB,INR,ACCT432711,BIC00000025,Citi Custody,2026-01-01,2027-12-31,True
SSI_b189f3d8f9,CP025,GB,SGD,ACCT742412,BIC00000025,HSBC Custody,2026-01-01,2027-12-31,True
SSI_9eaaf4c7a7,CP026,JP,EUR,ACCT571932,BIC00000026,JPM Custody,2026-01-01,2027-12-31,True
SSI_65c44db3f0,CP026,JP,JPY,ACCT888295,BIC00000026,BNY Mellon,2026-01-01,2027-12-31,True
SSI_626672a682,CP026,IN,SGD,ACCT903013,BIC00000026,HSBC Custody,2026-01-01,2027-12-31,True
SSI_81b6bca413,CP026,IN,GBP,ACCT608136,BIC00000026,BNY Mellon,2026-01-01,2027-12-31,True
SSI_85dbd95c8f,CP026,SG,GBP,ACCT181247,BIC00000026,JPM Custody,2026-01-01,2027-12-31,True
SSI_08c9939cb2,CP026,SG,JPY,ACCT345884,BIC00000026,JPM Custody,2026-01-01,2027-12-31,True
SSI_c580b1515f,CP027,EU,EUR,ACCT342495,BIC00000027,Citi Custody,2026-01-01,2027-12-31,True
SSI_bd7b6a3f92,CP027,EU,SGD,ACCT827659,BIC00000027,BNY Mellon,2026-01-01,2027-12-31,True
SSI_c00c6ca90f,CP027,SG,SGD,ACCT167348,BIC00000027,Citi Custody,2026-01-01,2027-12-31,True
SSI_a1a8e12b4d,CP027,SG,EUR,ACCT527398,BIC00000027,JPM Custody,2026-01-01,2027-12-31,True
SSI_86a43fac51,CP027,US,INR,ACCT535970,BIC00000027,State Street,2026-01-01,2027-12-31,True
SSI_8fb84d23fe,CP027,US,JPY,ACCT316881,BIC00000027,Citi Custody,2026-01-01,2027-12-31,True
SSI_ff52d1a0b5,CP028,JP,INR,ACCT600149,BIC00000028,State Street,2026-01-01,2027-12-31,True
SSI_3db9e08597,CP028,JP,JPY,ACCT468845,BIC00000028,JPM Custody,2026-01-01,2027-12-31,True
SSI_d25d45329c,CP028,IN,JPY,ACCT664365,BIC00000028,HSBC Custody,2026-01-01,2027-12-31,True
SSI_7c8079f923,CP028,IN,SGD,ACCT938722,BIC00000028,HSBC Custody,2026-01-01,2027-12-31,True
SSI_731a5bbafb,CP028,US,EUR,ACCT330080,BIC00000028,JPM Custody,2026-01-01,2027-12-31,True
SSI_71c873e926,CP028,US,JPY,ACCT557007,BIC00000028,Citi Custody,2026-01-01,2027-12-31,True
SSI_f189710ed1,CP029,US,SGD,ACCT859359,BIC00000029,BNY Mellon,2026-01-01,2027-12-31,True
SSI_c9302ddbd9,CP029,US,JPY,ACCT981334,BIC00000029,Citi Custody,2026-01-01,2027-12-31,True
SSI_d24a8c424f,CP029,JP,EUR,ACCT660069,BIC00000029,State Street,2026-01-01,2027-12-31,True
SSI_829e5cda15,CP029,JP,INR,ACCT513160,BIC00000029,HSBC Custody,2026-01-01,2027-12-31,True
SSI_8b83a7f87a,CP029,EU,INR,ACCT188025,BIC00000029,Citi Custody,2026-01-01,2027-12-31,True
SSI_39d270779c,CP029,EU,USD,ACCT242291,BIC00000029,Citi Custody,2026-01-01,2027-12-31,True
SSI_5cfdfd8282,CP030,GB,JPY,ACCT321941,BIC00000030,Citi Custody,2026-01-01,2027-12-31,True
SSI_367c02fb6b,CP030,GB,GBP,ACCT442722,BIC00000030,JPM Custody,2026-01-01,2027-12-31,True
SSI_2896a9b1f3,CP030,US,JPY,ACCT888539,BIC00000030,Citi Custody,2026-01-01,2027-12-31,True
SSI_0682067e8c,CP030,US,GBP,ACCT364525,BIC00000030,State Street,2026-01-01,2027-12-31,True
SSI_fce5ba9024,CP030,EU,JPY,ACCT885408,BIC00000030,HSBC Custody,2026-01-01,2027-12-31,True
SSI_8cff89d52e,CP030,EU,USD,ACCT154615,BIC00000030,JPM Custody,2026-01-01,2027-12-31,True
