case_id,exception_signature,root_cause,final_action,human_override_flag,agent_confidence,resolved_by,resolution_time_hours,outcome
EXC_32106f0f09,HOLIDAY_SETTLEMENT_ERROR|GB|INR|CP023,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.95,human_reviewer,8.27,RESOLVED
EXC_f6f979a8be,QUANTITY_MISMATCH|JP|INR|CP027,QUANTITY_BREAK,Investigate allocation quantity and amend booking if approved,False,0.75,ops_analyst,2.71,RESOLVED
EXC_9b675ee906,BOOKING_MISMATCH|US|SGD|CP018,BOOKING_MISMATCH,Reconcile booking details with front office and repair trade,True,0.93,human_reviewer,24.31,RESOLVED
EXC_5a5389bebf,COUNTERPARTY_DISCREPANCY|GB|INR|CP014,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.39,ops_analyst,3.19,RESOLVED
EXC_cf495f6362,AMBIGUOUS_NOISY|GB|SGD|CP027,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.61,human_reviewer,30.75,RESOLVED
EXC_69f7bd8a28,PRICE_MISMATCH|EU|GBP|CP009,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.89,ops_analyst,2.98,RESOLVED
EXC_40a4c57f22,QUANTITY_MISMATCH|EU|USD|CP006,QUANTITY_BREAK,Investigate allocation quantity and amend booking if approved,False,0.83,ops_analyst,1.12,RESOLVED
EXC_9d3d4a41d4,QUANTITY_MISMATCH|US|JPY|CP027,QUANTITY_BREAK,Investigate allocation quantity and amend booking if approved,False,0.77,team_lead,12.22,RESOLVED
EXC_6a6b83ecee,PRICE_MISMATCH|SG|JPY|CP020,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.87,team_lead,3.83,RESOLVED
EXC_5062d5a0ee,MISSING_REFERENCE_DATA|SG|USD|CP010,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.36,team_lead,1.91,RESOLVED
EXC_ad7ecd188c,MISSING_REFERENCE_DATA|EU|SGD|CP017,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.47,human_reviewer,15.3,RESOLVED
EXC_088cba7f31,HOLIDAY_SETTLEMENT_ERROR|GB|USD|CP002,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.75,ops_analyst,14.5,RESOLVED
EXC_1bdf1038d2,COUNTERPARTY_DISCREPANCY|JP|GBP|CP026,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,True,0.45,human_reviewer,14.8,RESOLVED
EXC_686ddbeb40,AMBIGUOUS_NOISY|US|INR|CP006,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.35,human_reviewer,12.02,RESOLVED
EXC_077ce9096a,COUNTERPARTY_DISCREPANCY|IN|EUR|CP024,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.61,human_reviewer,15.59,RESOLVED
EXC_b1a9284659,COUNTERPARTY_DISCREPANCY|EU|USD|CP023,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.55,ops_analyst,5.77,RESOLVED
EXC_2eb5521b8a,WRONG_ACCOUNT|US|EUR|CP008,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.92,human_reviewer,11.45,RESOLVED
EXC_9f2bbc035b,COUNTERPARTY_DISCREPANCY|GB|GBP|CP002,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.46,agent,11.29,RESOLVED
EXC_6e71727bc5,WRONG_ACCOUNT|IN|GBP|CP019,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.88,human_reviewer,3.59,RESOLVED
EXC_5e2e83a3e3,MISSING_INSTRUCTION|GB|GBP|CP007,MISSING_SSI,Request missing instructions from counterparty/custodian,False,0.91,team_lead,6.39,RESOLVED
EXC_3ae7d757b1,AMBIGUOUS_NOISY|IN|INR|CP012,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.4,human_reviewer,23.78,RESOLVED
EXC_77c76f55e3,PRICE_MISMATCH|IN|USD|CP030,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.87,ops_analyst,13.1,RESOLVED
EXC_636913b59b,BOOKING_MISMATCH|GB|GBP|CP023,BOOKING_MISMATCH,Reconcile booking details with front office and repair trade,True,0.9,human_reviewer,19.11,RESOLVED
EXC_0f1cf602ba,HOLIDAY_SETTLEMENT_ERROR|JP|SGD|CP021,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.74,ops_analyst,8.44,RESOLVED
EXC_295c062141,QUANTITY_MISMATCH|US|EUR|CP024,QUANTITY_BREAK,Investigate allocation quantity and amend booking if approved,False,0.9,team_lead,15.54,RESOLVED
EXC_9c1a578e12,MISSING_INSTRUCTION|JP|GBP|CP016,MISSING_SSI,Request missing instructions from counterparty/custodian,False,0.85,agent,14.47,RESOLVED
EXC_62aa7ca318,MISSING_REFERENCE_DATA|IN|INR|CP011,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,True,0.35,human_reviewer,2.31,RESOLVED
EXC_4a5c53756b,PRICE_MISMATCH|SG|SGD|CP027,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.83,team_lead,4.95,RESOLVED
EXC_e6bb0d36b1,SSI_MISMATCH|GB|GBP|CP009,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.81,agent,13.81,RESOLVED
EXC_de75171c2c,WRONG_ACCOUNT|IN|INR|CP017,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.74,human_reviewer,9.35,RESOLVED
EXC_6879c497f3,PRICE_MISMATCH|EU|GBP|CP018,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.78,team_lead,10.82,RESOLVED
EXC_92dd666f5e,QUANTITY_MISMATCH|GB|GBP|CP002,QUANTITY_BREAK,Investigate allocation quantity and amend booking if approved,False,0.88,human_reviewer,15.59,RESOLVED
EXC_2c57025657,SSI_MISMATCH|EU|SGD|CP005,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.92,agent,14.19,RESOLVED
EXC_f764994e3b,SSI_MISMATCH|GB|EUR|CP006,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.8,ops_analyst,3.45,RESOLVED
EXC_1c5f5b8cb3,MISSING_INSTRUCTION|SG|USD|CP024,MISSING_SSI,Request missing instructions from counterparty/custodian,False,0.87,ops_analyst,15.15,RESOLVED
EXC_ba2fd8ed23,COUNTERPARTY_DISCREPANCY|JP|GBP|CP014,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.54,ops_analyst,14.39,RESOLVED
EXC_6207ce313d,AMBIGUOUS_NOISY|GB|INR|CP007,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.43,human_reviewer,20.12,RESOLVED
EXC_df0a033bd6,MISSING_REFERENCE_DATA|IN|EUR|CP024,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.45,agent,5.48,RESOLVED
EXC_8dd4c9ce69,COUNTERPARTY_DISCREPANCY|GB|EUR|CP028,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.56,team_lead,2.32,RESOLVED
EXC_793bd21e0b,BOOKING_MISMATCH|JP|JPY|CP021,BOOKING_MISMATCH,Reconcile booking details with front office and repair trade,True,0.81,human_reviewer,23.66,RESOLVED
EXC_78724bdfde,BOOKING_MISMATCH|US|USD|CP006,BOOKING_MISMATCH,Reconcile booking details with front office and repair trade,True,0.77,human_reviewer,6.66,RESOLVED
EXC_cfbecca5ec,WRONG_ACCOUNT|GB|USD|CP017,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.75,human_reviewer,4.79,RESOLVED
EXC_9ec8d0fc57,SSI_MISMATCH|GB|EUR|CP023,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.92,ops_analyst,15.6,RESOLVED
EXC_a08664464b,MISSING_REFERENCE_DATA|JP|GBP|CP023,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.61,agent,4.96,RESOLVED
EXC_19a90d9855,WRONG_ACCOUNT|GB|USD|CP004,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.76,human_reviewer,7.01,RESOLVED
EXC_207710aaef,COUNTERPARTY_DISCREPANCY|EU|JPY|CP015,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.59,human_reviewer,11.91,RESOLVED
EXC_1d8a321eb3,QUANTITY_MISMATCH|JP|USD|CP016,QUANTITY_BREAK,Investigate allocation quantity and amend booking if approved,False,0.88,human_reviewer,10.62,RESOLVED
EXC_bc4054b426,WRONG_ACCOUNT|IN|INR|CP027,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.83,human_reviewer,13.02,RESOLVED
EXC_abcf02126b,SSI_MISMATCH|US|JPY|CP015,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.92,ops_analyst,13.66,RESOLVED
EXC_97901f68e6,COUNTERPARTY_DISCREPANCY|IN|INR|CP018,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,True,0.51,human_reviewer,3.81,RESOLVED
EXC_9aa0e34291,COUNTERPARTY_DISCREPANCY|JP|EUR|CP030,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.56,human_reviewer,14.65,RESOLVED
EXC_6f618d2f80,MISSING_REFERENCE_DATA|GB|USD|CP024,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.52,ops_analyst,5.36,RESOLVED
EXC_9192eb93f2,PRICE_MISMATCH|SG|EUR|CP030,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,True,0.75,human_reviewer,11.05,RESOLVED
EXC_bf3922cfc3,PRICE_MISMATCH|EU|EUR|CP007,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.73,team_lead,6.72,RESOLVED
EXC_7b78bb4920,HOLIDAY_SETTLEMENT_ERROR|SG|GBP|CP026,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.76,team_lead,8.71,RESOLVED
EXC_708b04433f,BOOKING_MISMATCH|JP|GBP|CP002,BOOKING_MISMATCH,Reconcile booking details with front office and repair trade,True,0.74,human_reviewer,27.23,RESOLVED
EXC_7ecf4dd24f,SSI_MISMATCH|GB|EUR|CP017,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.87,human_reviewer,14.78,RESOLVED
EXC_96a974cd07,SSI_MISMATCH|SG|GBP|CP002,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.77,human_reviewer,10.44,RESOLVED
EXC_8e4054d0a4,BOOKING_MISMATCH|SG|JPY|CP028,BOOKING_MISMATCH,Reconcile booking details with front office and repair trade,True,0.86,human_reviewer,12.83,RESOLVED
EXC_bb3e4664db,WRONG_ACCOUNT|JP|JPY|CP009,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.87,human_reviewer,5.22,RESOLVED
EXC_456d574181,SSI_MISMATCH|JP|JPY|CP030,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.72,agent,9.95,RESOLVED
EXC_615d2ab9ac,WRONG_ACCOUNT|GB|SGD|CP010,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.79,human_reviewer,2.01,RESOLVED
EXC_f67dd8d5df,SSI_MISMATCH|GB|SGD|CP004,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.76,human_reviewer,5.7,RESOLVED
EXC_4f8ab9ab42,PRICE_MISMATCH|SG|SGD|CP023,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.93,agent,13.74,RESOLVED
EXC_25b7a2684c,PRICE_MISMATCH|IN|INR|CP027,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.84,human_reviewer,10.94,RESOLVED
EXC_ea7176dda2,COUNTERPARTY_DISCREPANCY|IN|EUR|CP025,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.36,agent,10.73,RESOLVED
EXC_8e4a661f37,PRICE_MISMATCH|IN|SGD|CP023,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,False,0.84,human_reviewer,10.06,RESOLVED
EXC_4faeea83f3,AMBIGUOUS_NOISY|GB|EUR|CP015,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.39,human_reviewer,21.38,PENDING_REMEDIATION
EXC_ffeed52f40,MISSING_REFERENCE_DATA|GB|GBP|CP002,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.49,ops_analyst,3.52,RESOLVED
EXC_d8537f0274,MISSING_REFERENCE_DATA|JP|INR|CP030,REFERENCE_DATA_GAP,Backfill missing reference data before settlement processing,False,0.5,team_lead,1.02,RESOLVED
EXC_388f0f9642,HOLIDAY_SETTLEMENT_ERROR|JP|GBP|CP017,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.72,agent,12.15,RESOLVED
EXC_0fbbcf4e82,QUANTITY_MISMATCH|IN|USD|CP019,QUANTITY_BREAK,Investigate allocation quantity and amend booking if approved,False,0.82,team_lead,12.76,RESOLVED
EXC_6c73050258,MISSING_INSTRUCTION|EU|INR|CP006,MISSING_SSI,Request missing instructions from counterparty/custodian,False,0.87,agent,11.27,RESOLVED
EXC_19f045a901,COUNTERPARTY_DISCREPANCY|JP|SGD|CP006,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.47,ops_analyst,4.03,RESOLVED
EXC_659015ed6b,COUNTERPARTY_DISCREPANCY|US|INR|CP007,COUNTERPARTY_REFERENCE_MISMATCH,Confirm legal entity and refresh counterparty reference data,False,0.57,human_reviewer,4.39,RESOLVED
EXC_ae14b8d87e,WRONG_ACCOUNT|JP|INR|CP015,WRONG_ACCOUNT,Correct settlement account and obtain approval before rebook,True,0.9,human_reviewer,15.42,RESOLVED
EXC_a0ec61f698,PRICE_MISMATCH|SG|JPY|CP015,PRICE_BREAK,Reconfirm price with trading desk and amend booking if required,True,0.94,human_reviewer,8.15,RESOLVED
EXC_024ce76064,SSI_MISMATCH|GB|INR|CP012,SSI_MISMATCH,Validate SSI against active master and resend instruction,False,0.88,agent,10.95,RESOLVED
EXC_54b13fa2af,AMBIGUOUS_NOISY|IN|USD|CP025,AMBIGUOUS_EVIDENCE,Escalate to human review due to conflicting or weak evidence,True,0.35,human_reviewer,12.32,PENDING_REMEDIATION
EXC_da61bc7f71,HOLIDAY_SETTLEMENT_ERROR|EU|INR|CP011,MARKET_HOLIDAY_MISREAD,Roll intended settlement date to next open market day,False,0.88,ops_analyst,13.21,RESOLVED
EXC_6dc8467a17,QUANTITY_MISMATCH|GB|INR|CP026,QUANTITY_BREAK,Investigate allocation quantity and amend booking if approved,False,0.89,ops_analyst,1.9,RESOLVED
