trade_id,settlement_status,instruction_status,ssi_id,custodian,depository,fail_reason_code,actual_settlement_date,intended_settlement_date
TRD000032,FAILED,MISMATCH,SSI_e5135dddc4,HSBC Custody,Clearstream,WRONG_ACCOUNT,2026-03-06,2026-03-06
TRD000033,ON_HOLD,PENDING_ENRICHMENT,,State Street,NSDL,REFERENCE_DATA_GAP,2026-10-05,2026-10-05
TRD000034,ON_HOLD,MISMATCH,,Citi Custody,Euroclear,UNKNOWN,2026-03-11,2026-03-11
TRD000035,FAILED,MISSING,,Citi Custody,Clearstream,MISSING_INSTRUCTION,2026-01-05,2026-01-05
TRD000036,FAILED,MISMATCH,,JPM Custody,Clearstream,WRONG_ACCOUNT,2026-02-13,2026-02-13
TRD000037,FAILED,MISMATCH,SSI_BAD_96a9fd79e1,JPM Custody,CDSL,SSI_MISMATCH,2026-08-17,2026-08-17
TRD000038,FAILED,MATCHED,,HSBC Custody,JASDEC,QUANTITY_BREAK,2026-11-02,2026-11-02
TRD000039,FAILED,MISMATCH,SSI_BAD_5daed67d94,Citi Custody,CDSL,SSI_MISMATCH,2026-09-25,2026-09-25
TRD000040,FAILED,MATCHED,,HSBC Custody,JASDEC,QUANTITY_BREAK,2026-12-07,2026-12-07
TRD000041,FAILED,MISMATCH,SSI_BAD_f2057196f7,BNY Mellon,DTC,SSI_MISMATCH,2026-09-23,2026-09-23
TRD000042,ON_HOLD,PENDING_ENRICHMENT,,Citi Custody,Euroclear,REFERENCE_DATA_GAP,2026-05-21,2026-05-21
TRD000043,ON_HOLD,PENDING_CONFIRMATION,,JPM Custody,Clearstream,COUNTERPARTY_MISMATCH,2026-08-10,2026-08-10
TRD000044,FAILED,MATCHED,,State Street,JASDEC,PRICE_BREAK,2026-04-15,2026-04-15
TRD000045,FAILED,MISMATCH,,HSBC Custody,DTC,WRONG_ACCOUNT,2026-03-16,2026-03-16
TRD000046,ON_HOLD,PENDING_CONFIRMATION,SSI_4b5e2849fa,BNY Mellon,CDSL,COUNTERPARTY_MISMATCH,2026-09-07,2026-09-07
TRD000047,ON_HOLD,PENDING_CONFIRMATION,,Citi Custody,Clearstream,COUNTERPARTY_MISMATCH,2026-07-13,2026-07-13
TRD000048,FAILED,MATCHED,SSI_a650065d2d,HSBC Custody,Clearstream,BOOKING_MISMATCH,2026-01-26,2026-01-26
TRD000049,FAILED,MATCHED,,JPM Custody,Euroclear,MARKET_HOLIDAY,2026-10-26,2026-10-25
TRD000050,ON_HOLD,PENDING_ENRICHMENT,,Citi Custody,CDSL,REFERENCE_DATA_GAP,2026-01-19,2026-01-19
TRD000051,ON_HOLD,PENDING_ENRICHMENT,,JPM Custody,DTC,REFERENCE_DATA_GAP,2026-09-14,2026-09-14
TRD000052,ON_HOLD,PENDING_ENRICHMENT,,BNY Mellon,CDSL,REFERENCE_DATA_GAP,2026-05-01,2026-05-01
TRD000053,FAILED,MATCHED,SSI_367c02fb6b,JPM Custody,Euroclear,BOOKING_MISMATCH,2026-06-15,2026-06-15
TRD000054,FAILED,MISMATCH,SSI_BAD_23c95ed818,HSBC Custody,JASDEC,SSI_MISMATCH,2026-12-21,2026-12-21
TRD000055,ON_HOLD,PENDING_CONFIRMATION,,State Street,DTC,SSI_MISMATCH,2026-01-07,2026-01-07
TRD000056,FAILED,MISMATCH,SSI_BAD_b7e565f2f7,State Street,DTC,SSI_MISMATCH,2026-07-03,2026-07-03
TRD000057,FAILED,PENDING_CONFIRMATION,,HSBC Custody,Clearstream,WRONG_ACCOUNT,2026-09-02,2026-09-02
TRD000058,FAILED,MATCHED,SSI_ace3440a8b,BNY Mellon,Euroclear,MARKET_HOLIDAY,2026-06-29,2026-06-28
TRD000059,FAILED,MATCHED,,JPM Custody,NSDL,PRICE_BREAK,2026-05-05,2026-05-05
TRD000060,FAILED,MISSING,,BNY Mellon,Clearstream,MISSING_INSTRUCTION,2026-07-01,2026-07-01
TRD000061,FAILED,MISSING,,HSBC Custody,NSDL,MISSING_INSTRUCTION,2026-10-20,2026-10-20
TRD000062,FAILED,MISSING,,HSBC Custody,Euroclear,MISSING_INSTRUCTION,2026-11-16,2026-11-16
TRD000063,FAILED,MATCHED,,State Street,Clearstream,MARKET_HOLIDAY,2026-10-12,2026-10-10
TRD000064,FAILED,MATCHED,,Citi Custody,NSDL,MARKET_HOLIDAY,2026-02-09,2026-02-08
TRD000065,FAILED,MATCHED,,State Street,Clearstream,BOOKING_MISMATCH,2026-06-10,2026-06-10
TRD000066,ON_HOLD,PENDING_CONFIRMATION,SSI_4b5e2849fa,BNY Mellon,JASDEC,COUNTERPARTY_MISMATCH,2026-03-11,2026-03-11
TRD000067,FAILED,MATCHED,,JPM Custody,NSDL,MARKET_HOLIDAY,2026-10-12,2026-10-10
TRD000068,FAILED,MATCHED,,BNY Mellon,NSDL,MARKET_HOLIDAY,2026-09-07,2026-09-06
TRD000069,FAILED,MATCHED,,JPM Custody,DTC,QUANTITY_BREAK,2026-09-21,2026-09-21
TRD000070,FAILED,MATCHED,,State Street,NSDL,BOOKING_MISMATCH,2026-08-18,2026-08-18
TRD000071,ON_HOLD,PENDING_CONFIRMATION,,JPM Custody,Clearstream,COUNTERPARTY_MISMATCH,2026-03-26,2026-03-26
TRD000072,ON_HOLD,PENDING_CONFIRMATION,,HSBC Custody,NSDL,COUNTERPARTY_MISMATCH,2026-07-16,2026-07-16
TRD000073,FAILED,MATCHED,,Citi Custody,DTC,PRICE_BREAK,2026-06-18,2026-06-18
TRD000074,FAILED,MATCHED,,State Street,JASDEC,QUANTITY_BREAK,2026-11-12,2026-11-12
TRD000075,FAILED,MATCHED,SSI_8fb84d23fe,Citi Custody,Euroclear,QUANTITY_BREAK,2026-12-07,2026-12-07
TRD000076,FAILED,MATCHED,,JPM Custody,JASDEC,PRICE_BREAK,2026-04-06,2026-04-06
TRD000077,ON_HOLD,PENDING_ENRICHMENT,SSI_65fa1a2974,State Street,CDSL,REFERENCE_DATA_GAP,2026-04-16,2026-04-16
TRD000078,ON_HOLD,PENDING_ENRICHMENT,,JPM Custody,DTC,REFERENCE_DATA_GAP,2026-12-17,2026-12-17
TRD000079,FAILED,MATCHED,,State Street,Euroclear,MARKET_HOLIDAY,2026-07-06,2026-07-05
TRD000080,ON_HOLD,PENDING_CONFIRMATION,,HSBC Custody,Euroclear,COUNTERPARTY_MISMATCH,2026-09-03,2026-09-03
TRD000081,FAILED,PENDING_CONFIRMATION,,HSBC Custody,Euroclear,WRONG_ACCOUNT,2026-12-24,2026-12-24
TRD000082,ON_HOLD,PENDING_CONFIRMATION,,HSBC Custody,Clearstream,COUNTERPARTY_MISMATCH,2026-08-12,2026-08-12
TRD000083,ON_HOLD,PENDING_CONFIRMATION,,Citi Custody,DTC,COUNTERPARTY_MISMATCH,2026-01-08,2026-01-08
TRD000084,FAILED,MISMATCH,,Citi Custody,Clearstream,WRONG_ACCOUNT,2026-03-25,2026-03-25
TRD000085,ON_HOLD,PENDING_CONFIRMATION,,Citi Custody,NSDL,COUNTERPARTY_MISMATCH,2026-03-03,2026-03-03
TRD000086,FAILED,MISMATCH,,State Street,Euroclear,WRONG_ACCOUNT,2026-02-02,2026-02-02
TRD000087,FAILED,MISSING,,State Street,Clearstream,MISSING_INSTRUCTION,2026-05-15,2026-05-15
TRD000088,FAILED,PENDING_CONFIRMATION,SSI_33fc0774d2,HSBC Custody,DTC,WRONG_ACCOUNT,2026-06-15,2026-06-15
TRD000089,FAILED,MATCHED,,Citi Custody,DTC,PRICE_BREAK,2026-12-23,2026-12-23
TRD000090,FAILED,MATCHED,,Citi Custody,CDSL,BOOKING_MISMATCH,2026-01-02,2026-01-02
TRD000091,FAILED,MATCHED,,JPM Custody,Euroclear,MARKET_HOLIDAY,2026-10-26,2026-10-25
TRD000092,FAILED,MATCHED,,JPM Custody,Euroclear,QUANTITY_BREAK,2026-06-11,2026-06-11
TRD000093,FAILED,MISSING,,State Street,Clearstream,MISSING_INSTRUCTION,2026-09-14,2026-09-14
TRD000094,ON_HOLD,PENDING_ENRICHMENT,,BNY Mellon,NSDL,REFERENCE_DATA_GAP,2026-08-24,2026-08-24
TRD000095,FAILED,MATCHED,SSI_c00c6ca90f,Citi Custody,NSDL,PRICE_BREAK,2026-10-16,2026-10-16
TRD000096,FAILED,MISMATCH,SSI_BAD_a2537a2b0c,State Street,NSDL,SSI_MISMATCH,2026-10-02,2026-10-02
TRD000097,FAILED,MISMATCH,,State Street,JASDEC,WRONG_ACCOUNT,2026-10-22,2026-10-22
TRD000098,FAILED,MATCHED,,HSBC Custody,CDSL,PRICE_BREAK,2026-09-15,2026-09-15
TRD000099,FAILED,MATCHED,,Citi Custody,Clearstream,QUANTITY_BREAK,2026-07-06,2026-07-06
TRD000100,FAILED,MISMATCH,SSI_BAD_b9e03e2cb8,HSBC Custody,Clearstream,SSI_MISMATCH,2026-08-25,2026-08-25
TRD000101,FAILED,MISMATCH,SSI_BAD_d4278233ab,State Street,JASDEC,SSI_MISMATCH,2026-01-08,2026-01-08
TRD000102,FAILED,MISSING,,Citi Custody,CDSL,MISSING_INSTRUCTION,2026-05-04,2026-05-04
TRD000103,ON_HOLD,PENDING_CONFIRMATION,,HSBC Custody,CDSL,COUNTERPARTY_MISMATCH,2026-08-10,2026-08-10
TRD000104,ON_HOLD,MISSING,,Citi Custody,CDSL,SSI_MISMATCH,2026-04-02,2026-04-02
TRD000105,ON_HOLD,PENDING_ENRICHMENT,,JPM Custody,NSDL,REFERENCE_DATA_GAP,2026-11-11,2026-11-11
TRD000106,ON_HOLD,PENDING_CONFIRMATION,,BNY Mellon,Clearstream,COUNTERPARTY_MISMATCH,2026-04-13,2026-04-13
TRD000107,FAILED,MATCHED,,State Street,JASDEC,BOOKING_MISMATCH,2026-07-16,2026-07-16
TRD000108,FAILED,MATCHED,,JPM Custody,Euroclear,BOOKING_MISMATCH,2026-05-11,2026-05-11
TRD000109,FAILED,MISMATCH,,State Street,JASDEC,WRONG_ACCOUNT,2026-06-23,2026-06-23
TRD000110,FAILED,MISMATCH,SSI_BAD_34ee53bd2c,State Street,CDSL,SSI_MISMATCH,2026-12-22,2026-12-22
TRD000111,ON_HOLD,PENDING_ENRICHMENT,,HSBC Custody,JASDEC,REFERENCE_DATA_GAP,2026-03-02,2026-03-02
TRD000112,FAILED,MISMATCH,,JPM Custody,NSDL,WRONG_ACCOUNT,2026-05-12,2026-05-12
TRD000113,ON_HOLD,PENDING_CONFIRMATION,,State Street,NSDL,COUNTERPARTY_MISMATCH,2026-12-28,2026-12-28
TRD000114,FAILED,MATCHED,,JPM Custody,CDSL,QUANTITY_BREAK,2026-07-15,2026-07-15
TRD000115,FAILED,MISMATCH,,JPM Custody,DTC,WRONG_ACCOUNT,2026-01-01,2026-01-01
TRD000116,FAILED,MISMATCH,SSI_BAD_339678fc80,HSBC Custody,CDSL,SSI_MISMATCH,2026-08-11,2026-08-11
TRD000117,ON_HOLD,PENDING_CONFIRMATION,,JPM Custody,CDSL,COUNTERPARTY_MISMATCH,2026-08-24,2026-08-24
TRD000118,ON_HOLD,PENDING_CONFIRMATION,,Citi Custody,JASDEC,COUNTERPARTY_MISMATCH,2026-08-27,2026-08-27
TRD000119,ON_HOLD,PENDING_ENRICHMENT,SSI_44a412e054,Citi Custody,Clearstream,REFERENCE_DATA_GAP,2026-07-22,2026-07-22
TRD000120,FAILED,MATCHED,,HSBC Custody,JASDEC,PRICE_BREAK,2026-12-21,2026-12-21
TRD000121,FAILED,MATCHED,,State Street,CDSL,PRICE_BREAK,2026-05-22,2026-05-22
TRD000122,FAILED,MATCHED,SSI_85dbd95c8f,JPM Custody,JASDEC,MARKET_HOLIDAY,2026-01-05,2026-01-03
TRD000123,FAILED,MATCHED,,HSBC Custody,DTC,BOOKING_MISMATCH,2026-09-09,2026-09-09
TRD000124,FAILED,MISMATCH,SSI_BAD_c2d0bc3a1e,JPM Custody,Clearstream,SSI_MISMATCH,2026-09-03,2026-09-03
TRD000125,FAILED,MISMATCH,SSI_BAD_6fcd1a569b,State Street,Clearstream,SSI_MISMATCH,2026-07-27,2026-07-27
TRD000126,FAILED,MATCHED,,Citi Custody,JASDEC,BOOKING_MISMATCH,2026-02-09,2026-02-09
TRD000127,FAILED,MISMATCH,,State Street,JASDEC,WRONG_ACCOUNT,2026-08-21,2026-08-21
TRD000128,FAILED,MISMATCH,SSI_BAD_2b94958876,BNY Mellon,Clearstream,SSI_MISMATCH,2026-07-27,2026-07-27
TRD000129,FAILED,MISMATCH,,State Street,Euroclear,WRONG_ACCOUNT,2026-12-24,2026-12-24
TRD000130,FAILED,MISMATCH,SSI_BAD_2c5737ddbf,Citi Custody,NSDL,SSI_MISMATCH,2026-10-16,2026-10-16
TRD000131,FAILED,MATCHED,SSI_3fbeca4059,HSBC Custody,Euroclear,PRICE_BREAK,2026-07-09,2026-07-09
TRD000132,FAILED,MATCHED,,Citi Custody,Euroclear,PRICE_BREAK,2026-07-27,2026-07-27
TRD000133,ON_HOLD,PENDING_CONFIRMATION,,Citi Custody,Euroclear,COUNTERPARTY_MISMATCH,2026-08-06,2026-08-06
TRD000134,FAILED,MATCHED,,JPM Custody,NSDL,PRICE_BREAK,2026-05-27,2026-05-27
TRD000135,FAILED,PENDING_CONFIRMATION,,JPM Custody,JASDEC,UNKNOWN,2026-02-17,2026-02-17
TRD000136,ON_HOLD,PENDING_ENRICHMENT,,Citi Custody,CDSL,REFERENCE_DATA_GAP,2026-03-17,2026-03-17
TRD000137,ON_HOLD,PENDING_ENRICHMENT,,HSBC Custody,DTC,REFERENCE_DATA_GAP,2026-10-05,2026-10-05
TRD000138,FAILED,MATCHED,,BNY Mellon,Clearstream,MARKET_HOLIDAY,2026-08-10,2026-08-08
TRD000139,FAILED,MATCHED,,HSBC Custody,Clearstream,QUANTITY_BREAK,2026-09-01,2026-09-01
TRD000140,FAILED,MISSING,,Citi Custody,JASDEC,MISSING_INSTRUCTION,2026-09-16,2026-09-16
TRD000141,ON_HOLD,PENDING_CONFIRMATION,,HSBC Custody,DTC,COUNTERPARTY_MISMATCH,2026-01-26,2026-01-26
TRD000142,ON_HOLD,PENDING_CONFIRMATION,,JPM Custody,NSDL,COUNTERPARTY_MISMATCH,2026-09-17,2026-09-17
TRD000143,FAILED,MISMATCH,,HSBC Custody,Clearstream,WRONG_ACCOUNT,2026-01-09,2026-01-09
TRD000144,FAILED,MATCHED,,Citi Custody,Clearstream,PRICE_BREAK,2026-10-28,2026-10-28
TRD000145,FAILED,MISMATCH,SSI_BAD_35662d174e,HSBC Custody,Euroclear,SSI_MISMATCH,2026-05-06,2026-05-06
TRD000146,FAILED,MISMATCH,,HSBC Custody,NSDL,UNKNOWN,2026-08-12,2026-08-12
TRD000147,FAILED,MATCHED,,JPM Custody,Clearstream,MARKET_HOLIDAY,2026-08-24,2026-08-22
TRD000148,FAILED,MATCHED,,HSBC Custody,CDSL,QUANTITY_BREAK,2026-07-28,2026-07-28
TRD000149,ON_HOLD,PENDING_ENRICHMENT,,HSBC Custody,Euroclear,REFERENCE_DATA_GAP,2026-08-24,2026-08-24
TRD000150,FAILED,MISMATCH,SSI_BAD_649f5b50e2,JPM Custody,JASDEC,SSI_MISMATCH,2026-11-20,2026-11-20
TRD000151,FAILED,PENDING_CONFIRMATION,,JPM Custody,JASDEC,SSI_MISMATCH,2026-02-04,2026-02-04
TRD000152,FAILED,MATCHED,SSI_3db9e08597,JPM Custody,JASDEC,PRICE_BREAK,2026-09-09,2026-09-09
TRD000153,FAILED,MISSING,,HSBC Custody,CDSL,UNKNOWN,2026-09-01,2026-09-01
TRD000154,FAILED,MATCHED,,HSBC Custody,NSDL,MARKET_HOLIDAY,2026-04-20,2026-04-19
TRD000155,FAILED,MATCHED,,BNY Mellon,DTC,MARKET_HOLIDAY,2026-01-05,2026-01-03
TRD000156,ON_HOLD,PENDING_ENRICHMENT,,Citi Custody,JASDEC,REFERENCE_DATA_GAP,2026-07-27,2026-07-27
TRD000157,FAILED,MISMATCH,SSI_BAD_0b2cf5191f,Citi Custody,JASDEC,SSI_MISMATCH,2026-07-13,2026-07-13
TRD000158,FAILED,MISSING,,JPM Custody,JASDEC,MISSING_INSTRUCTION,2026-03-23,2026-03-23
TRD000159,FAILED,MISMATCH,SSI_BAD_f382c6bce9,HSBC Custody,Clearstream,SSI_MISMATCH,2026-12-15,2026-12-15
TRD000160,FAILED,MATCHED,SSI_fc51066f85,State Street,Euroclear,QUANTITY_BREAK,2026-08-25,2026-08-25
TRD000161,ON_HOLD,MISSING,SSI_2256173faa,HSBC Custody,CDSL,SSI_MISMATCH,2026-10-23,2026-10-23
TRD000162,ON_HOLD,PENDING_ENRICHMENT,,BNY Mellon,CDSL,REFERENCE_DATA_GAP,2026-07-24,2026-07-24
TRD000163,FAILED,MISSING,,HSBC Custody,DTC,MISSING_INSTRUCTION,2026-09-07,2026-09-07
TRD000164,FAILED,MATCHED,,JPM Custody,Clearstream,BOOKING_MISMATCH,2026-09-21,2026-09-21
TRD000165,FAILED,MISMATCH,,Citi Custody,NSDL,WRONG_ACCOUNT,2026-12-21,2026-12-21
TRD000166,FAILED,MATCHED,,Citi Custody,Clearstream,PRICE_BREAK,2026-03-11,2026-03-11
TRD000167,FAILED,MATCHED,,State Street,Clearstream,QUANTITY_BREAK,2026-03-16,2026-03-16
TRD000168,FAILED,MATCHED,,State Street,Euroclear,MARKET_HOLIDAY,2026-12-21,2026-12-20
TRD000169,ON_HOLD,MISMATCH,SSI_7f7e23ed42,HSBC Custody,JASDEC,WRONG_ACCOUNT,2026-05-18,2026-05-18
TRD000170,FAILED,MATCHED,,BNY Mellon,CDSL,BOOKING_MISMATCH,2026-12-04,2026-12-04
TRD000171,FAILED,MISMATCH,,BNY Mellon,DTC,WRONG_ACCOUNT,2026-09-09,2026-09-09
TRD000172,FAILED,MATCHED,,BNY Mellon,JASDEC,MARKET_HOLIDAY,2026-03-30,2026-03-29
TRD000173,FAILED,MATCHED,,HSBC Custody,CDSL,MARKET_HOLIDAY,2026-11-16,2026-11-14
TRD000174,ON_HOLD,PENDING_ENRICHMENT,SSI_d25d45329c,HSBC Custody,DTC,REFERENCE_DATA_GAP,2026-12-21,2026-12-21
TRD000175,FAILED,MATCHED,,State Street,NSDL,MARKET_HOLIDAY,2026-01-19,2026-01-17
TRD000176,FAILED,MISMATCH,,Citi Custody,CDSL,WRONG_ACCOUNT,2026-07-10,2026-07-10
TRD000177,ON_HOLD,PENDING_ENRICHMENT,SSI_c5ac52ea5c,HSBC Custody,NSDL,REFERENCE_DATA_GAP,2026-02-04,2026-02-04
TRD000178,FAILED,MISMATCH,SSI_BAD_2d0017b893,JPM Custody,NSDL,SSI_MISMATCH,2026-02-05,2026-02-05
TRD000179,FAILED,MISMATCH,,State Street,DTC,WRONG_ACCOUNT,2026-04-02,2026-04-02
TRD000180,FAILED,MATCHED,,JPM Custody,Clearstream,PRICE_BREAK,2026-05-11,2026-05-11
TRD000181,FAILED,MISMATCH,SSI_779164d4c2,Citi Custody,Euroclear,COUNTERPARTY_MISMATCH,2026-05-18,2026-05-18
TRD000182,FAILED,MATCHED,,Citi Custody,JASDEC,PRICE_BREAK,2026-12-10,2026-12-10
TRD000183,FAILED,MATCHED,,HSBC Custody,DTC,BOOKING_MISMATCH,2026-09-11,2026-09-11
TRD000184,ON_HOLD,PENDING_ENRICHMENT,,Citi Custody,DTC,REFERENCE_DATA_GAP,2026-03-19,2026-03-19
TRD000185,FAILED,MISSING,,BNY Mellon,Euroclear,MISSING_INSTRUCTION,2026-08-17,2026-08-17
TRD000186,FAILED,MATCHED,,JPM Custody,Clearstream,MARKET_HOLIDAY,2026-11-23,2026-11-22
TRD000187,FAILED,MISSING,,JPM Custody,CDSL,MISSING_INSTRUCTION,2026-09-11,2026-09-11
TRD000188,FAILED,MISSING,,Citi Custody,Euroclear,MISSING_INSTRUCTION,2026-10-21,2026-10-21
TRD000189,FAILED,MATCHED,SSI_fce5ba9024,HSBC Custody,Euroclear,PRICE_BREAK,2026-03-23,2026-03-23
TRD000190,FAILED,MATCHED,SSI_9962654323,JPM Custody,Clearstream,PRICE_BREAK,2026-04-20,2026-04-20
TRD000191,FAILED,MATCHED,,BNY Mellon,Euroclear,BOOKING_MISMATCH,2026-02-20,2026-02-20
TRD000192,FAILED,MATCHED,,HSBC Custody,NSDL,PRICE_BREAK,2026-04-22,2026-04-22
TRD000193,ON_HOLD,PENDING_CONFIRMATION,SSI_914218c77b,HSBC Custody,NSDL,COUNTERPARTY_MISMATCH,2026-04-14,2026-04-14
TRD000194,FAILED,MATCHED,,HSBC Custody,NSDL,QUANTITY_BREAK,2026-02-05,2026-02-05
TRD000195,FAILED,MATCHED,,JPM Custody,NSDL,QUANTITY_BREAK,2026-06-02,2026-06-02
TRD000196,FAILED,MATCHED,SSI_8b83a7f87a,Citi Custody,JASDEC,QUANTITY_BREAK,2026-01-16,2026-01-16
TRD000197,FAILED,MATCHED,,HSBC Custody,Euroclear,QUANTITY_BREAK,2026-03-17,2026-03-17
TRD000198,FAILED,MISMATCH,,HSBC Custody,JASDEC,WRONG_ACCOUNT,2026-10-27,2026-10-27
TRD000199,FAILED,MATCHED,,JPM Custody,NSDL,QUANTITY_BREAK,2026-12-28,2026-12-28
TRD000200,FAILED,MATCHED,SSI_f7a3de8222,HSBC Custody,JASDEC,QUANTITY_BREAK,2026-02-09,2026-02-09
TRD000201,FAILED,PENDING_CONFIRMATION,,State Street,JASDEC,UNKNOWN,2026-05-07,2026-05-07
TRD000202,FAILED,MATCHED,,Citi Custody,Euroclear,MARKET_HOLIDAY,2026-01-26,2026-01-24
TRD000203,FAILED,MISSING,SSI_356f4820ff,BNY Mellon,NSDL,COUNTERPARTY_MISMATCH,2026-02-19,2026-02-19
TRD000204,FAILED,MISSING,,JPM Custody,JASDEC,MISSING_INSTRUCTION,2026-06-11,2026-06-11
TRD000205,ON_HOLD,MISSING,,JPM Custody,DTC,SSI_MISMATCH,2026-08-24,2026-08-24
TRD000206,FAILED,MATCHED,,HSBC Custody,Euroclear,QUANTITY_BREAK,2026-08-20,2026-08-20
TRD000207,FAILED,MATCHED,SSI_c00c6ca90f,Citi Custody,DTC,QUANTITY_BREAK,2026-07-13,2026-07-13
TRD000208,FAILED,MISMATCH,,BNY Mellon,Euroclear,WRONG_ACCOUNT,2026-08-03,2026-08-03
TRD000209,FAILED,MATCHED,,State Street,CDSL,BOOKING_MISMATCH,2026-10-05,2026-10-05
TRD000210,FAILED,MISSING,,HSBC Custody,NSDL,MISSING_INSTRUCTION,2026-08-17,2026-08-17
TRD000211,FAILED,MATCHED,,Citi Custody,Euroclear,PRICE_BREAK,2026-07-07,2026-07-07
TRD000212,FAILED,MATCHED,,JPM Custody,Euroclear,QUANTITY_BREAK,2026-04-13,2026-04-13
TRD000213,FAILED,MATCHED,,State Street,NSDL,BOOKING_MISMATCH,2026-08-10,2026-08-10
TRD000214,FAILED,MISMATCH,SSI_BAD_66c93dfe76,State Street,DTC,SSI_MISMATCH,2026-08-17,2026-08-17
TRD000215,FAILED,MATCHED,,JPM Custody,JASDEC,BOOKING_MISMATCH,2026-08-24,2026-08-24
TRD000216,ON_HOLD,PENDING_CONFIRMATION,,BNY Mellon,Euroclear,COUNTERPARTY_MISMATCH,2026-01-05,2026-01-05
TRD000217,ON_HOLD,PENDING_CONFIRMATION,,HSBC Custody,Clearstream,COUNTERPARTY_MISMATCH,2026-06-12,2026-06-12
TRD000218,FAILED,MATCHED,,Citi Custody,NSDL,QUANTITY_BREAK,2026-03-30,2026-03-30
TRD000219,FAILED,MATCHED,SSI_34ead4ad7d,State Street,DTC,MARKET_HOLIDAY,2026-08-31,2026-08-30
TRD000220,ON_HOLD,PENDING_ENRICHMENT,,BNY Mellon,Clearstream,REFERENCE_DATA_GAP,2026-01-12,2026-01-12
